

100	7.7e-05
1100	0.00483
2100	0.009013
3100	0.021422
4100	0.041013
5100	0.063531
6100	0.095145
7100	0.132848
8100	0.17854
9100	0.228741
10100	0.285375
11100	0.345692
12100	0.434424
13100	0.492953
14100	0.576402
15100	0.671456
16100	0.772723
17100	0.867941
18100	0.976001
19100	1.08723
20100	1.20567
21100	1.33571
22100	1.46771
23100	1.62066
24100	1.75775
25100	1.92905
26100	2.08956
27100	2.24525
28100	2.42129
29100	2.61526
30100	2.78786
31100	2.98856
32100	3.19366
33100	3.39814
34100	3.6106
35100	3.81992
36100	4.03959
37100	4.26307
38100	4.50513
39100	4.76438
40100	5.01811
41100	5.25523
42100	5.55903
43100	5.82167
44100	6.26574
45100	6.45023
46100	6.69545
47100	7.00419
48100	7.32386
49100	7.79979
