100	9e-06
1100	0.000109
2100	0.000231
3100	0.000366
4100	0.00047
5100	0.000738
6100	0.000715
7100	0.000877
8100	0.000994
9100	0.001133
10100	0.00128
11100	0.001547
12100	0.002176
13100	0.002052
14100	0.00182
15100	0.002561
16100	0.00271
17100	0.002237
18100	0.002401
19100	0.002656
20100	0.002684
21100	0.003194
22100	0.003872
23100	0.003397
24100	0.004395
25100	0.004073
26100	0.005005
27100	0.005013
28100	0.005153
29100	0.005375
30100	0.004302
31100	0.005717
32100	0.005043
33100	0.005395
34100	0.004878
35100	0.005157
36100	0.006636
37100	0.007171
38100	0.005429
39100	0.006756
40100	0.006411
41100	0.007178
42100	0.006872
43100	0.006163
44100	0.006494
45100	0.006492
46100	0.006366
47100	0.006009
48100	0.006587
49100	0.008633
