100 	  1.7335e-05
1100 	  0.000152918
2100 	  0.000303251
3100 	  0.000557249
4100 	  0.000632729
5100 	  0.000885493
6100 	  0.0011794
7100 	  0.00110694
8100 	  0.0013359
9100 	  0.00157447
10100  0.001865
11100  0.002313
12100  0.002766
13100  0.002171
14100  0.002386
15100  0.002595
16100  0.003828
17100  0.003705
18100  0.003419
19100  0.003612
20100  0.003912
21100  0.005632
22100  0.005029
23100  0.00534
24100  0.005066
25100  0.006178
26100  0.006857
27100  0.00491
28100  0.005077
29100  0.006154
30100  0.006023
31100  0.005853
32100  0.005987
33100  0.009162
34100  0.006535
35100  0.006783
36100  0.008217
37100  0.007586
38100  0.007672
39100  0.008859
40100  0.008332
41100  0.008793
42100  0.010342
43100  0.01086
44100  0.010252
45100  0.010847
46100  0.010069
47100  0.014374
48100  0.010747
49100  0.01193
